ID,Raw_Text,Label,Cleaned_Text
1,100% Guaranteed!!! Best deals only today.,0,guaranteed best deal today
2,Email me at contact@example.com for inquiries.,0,email inquiry
3,Python is so cooool ğŸ˜ğŸ˜!!!,1,python cooool
4,Warning!! Your account will be blocked unless you verify it now: http://fakeurl.com,1,warning account blocked unless verify
5,Ohhh woww!! This is amaaazinggg ğŸ˜ğŸ˜,0,ohhh woww amaaazinggg
6,Breaking News!!! Read more at http://news.com,0,breaking news read
7,Ohhh woww!! This is amaaazinggg ğŸ˜ğŸ˜,0,ohhh woww amaaazinggg
8,OMG!!! This is sooooo exciting ğŸ˜±ğŸ˜±,1,omg sooooo exciting
9,Follow me @user123 for more updates!!,1,follow user update
10,Tooootallly agree with you!!!,0,tooootallly agree
11,Win a free iPhone!!! Click here: http://scam.com,0,win free iphone click
12,Tooootallly agree with you!!!,0,tooootallly agree
13,Retweet this!! #trending #viral,0,retweet trending viral
14,Tooootallly agree with you!!!,1,tooootallly agree
15,This is a test message with extraaaaaa letters!,1,test message extraaaaaa letter
16,Win a free iPhone!!! Click here: http://scam.com,0,win free iphone click
17,This is a test message with extraaaaaa letters!,0,test message extraaaaaa letter
18,Ohhh woww!! This is amaaazinggg ğŸ˜ğŸ˜,1,ohhh woww amaaazinggg
19,100% Guaranteed!!! Best deals only today.,0,guaranteed best deal today
20,Retweet this!! #trending #viral,1,retweet trending viral
21,I'm lovvvvving this new update!!! ğŸ’–ğŸ’–,0,im lovvvvving new update
22,Order now and get 50% off! Limited time offer!,1,order get limited time offer
23,This is a test message with extraaaaaa letters!,0,test message extraaaaaa letter
24,Ohhh woww!! This is amaaazinggg ğŸ˜ğŸ˜,0,ohhh woww amaaazinggg
25,Hey there!!! Visit my blog at https://example.com #blogging,0,hey visit blog blogging
26,Follow me @user123 for more updates!!,1,follow user update
27,Order now and get 50% off! Limited time offer!,1,order get limited time offer
28,Hello everyone!!! Have a great day ğŸ˜ƒ,1,hello everyone great day
29,Order now and get 50% off! Limited time offer!,0,order get limited time offer
30,I'm lovvvvving this new update!!! ğŸ’–ğŸ’–,0,im lovvvvving new update
31,Check out this new product: http://shop.com #shopping,0,check new product shopping
32,OMG!!! This is sooooo exciting ğŸ˜±ğŸ˜±,0,omg sooooo exciting
33,Python is so cooool ğŸ˜ğŸ˜!!!,1,python cooool
34,Best offer ever!!! Call now 123-456-7890,1,best offer ever call
35,100% Guaranteed!!! Best deals only today.,0,guaranteed best deal today
36,Ohhh woww!! This is amaaazinggg ğŸ˜ğŸ˜,1,ohhh woww amaaazinggg
37,Email me at contact@example.com for inquiries.,0,email inquiry
38,Loooveeee this!!! ğŸ’•ğŸ’•ğŸ’•,0,loooveeee
39,Best offer ever!!! Call now 123-456-7890,1,best offer ever call
40,This is a test message with extraaaaaa letters!,0,test message extraaaaaa letter
41,Check out this new product: http://shop.com #shopping,0,check new product shopping
42,This is a test message with extraaaaaa letters!,0,test message extraaaaaa letter
43,This is a test message with extraaaaaa letters!,0,test message extraaaaaa letter
44,SPAM ALERT!!! Click here to claim your prize: http://spam.com,1,spam alert click claim prize
45,100% Guaranteed!!! Best deals only today.,0,guaranteed best deal today
46,Loooveeee this!!! ğŸ’•ğŸ’•ğŸ’•,1,loooveeee
47,Tooootallly agree with you!!!,0,tooootallly agree
48,Tooootallly agree with you!!!,0,tooootallly agree
49,SPAM ALERT!!! Click here to claim your prize: http://spam.com,0,spam alert click claim prize
50,Python is so cooool ğŸ˜ğŸ˜!!!,1,python cooool
51,Email me at contact@example.com for inquiries.,1,email inquiry
52,Breaking News!!! Read more at http://news.com,0,breaking news read
53,Order now and get 50% off! Limited time offer!,1,order get limited time offer
54,OMG!!! This is sooooo exciting ğŸ˜±ğŸ˜±,1,omg sooooo exciting
55,Win a free iPhone!!! Click here: http://scam.com,1,win free iphone click
56,OMG!!! This is sooooo exciting ğŸ˜±ğŸ˜±,0,omg sooooo exciting
57,Email me at contact@example.com for inquiries.,1,email inquiry
58,Follow me @user123 for more updates!!,0,follow user update
59,This is a test message with extraaaaaa letters!,0,test message extraaaaaa letter
60,100% Guaranteed!!! Best deals only today.,1,guaranteed best deal today
61,SPAM ALERT!!! Click here to claim your prize: http://spam.com,0,spam alert click claim prize
62,I'm lovvvvving this new update!!! ğŸ’–ğŸ’–,1,im lovvvvving new update
63,Check out this new product: http://shop.com #shopping,0,check new product shopping
64,Tooootallly agree with you!!!,1,tooootallly agree
65,Hello everyone!!! Have a great day ğŸ˜ƒ,1,hello everyone great day
66,Follow me @user123 for more updates!!,1,follow user update
67,Python is so cooool ğŸ˜ğŸ˜!!!,1,python cooool
68,100% Guaranteed!!! Best deals only today.,0,guaranteed best deal today
69,Breaking News!!! Read more at http://news.com,0,breaking news read
70,Breaking News!!! Read more at http://news.com,0,breaking news read
71,Retweet this!! #trending #viral,1,retweet trending viral
72,Hello everyone!!! Have a great day ğŸ˜ƒ,1,hello everyone great day
73,Follow me @user123 for more updates!!,1,follow user update
74,Loooveeee this!!! ğŸ’•ğŸ’•ğŸ’•,1,loooveeee
75,Best offer ever!!! Call now 123-456-7890,0,best offer ever call
76,Check out this new product: http://shop.com #shopping,1,check new product shopping
77,Python is so cooool ğŸ˜ğŸ˜!!!,1,python cooool
78,Follow me @user123 for more updates!!,1,follow user update
79,This is a test message with extraaaaaa letters!,1,test message extraaaaaa letter
80,SPAM ALERT!!! Click here to claim your prize: http://spam.com,0,spam alert click claim prize
81,Email me at contact@example.com for inquiries.,1,email inquiry
82,This is a test message with extraaaaaa letters!,1,test message extraaaaaa letter
83,Follow me @user123 for more updates!!,1,follow user update
84,Python is so cooool ğŸ˜ğŸ˜!!!,0,python cooool
85,OMG!!! This is sooooo exciting ğŸ˜±ğŸ˜±,1,omg sooooo exciting
86,Follow me @user123 for more updates!!,1,follow user update
87,Win a free iPhone!!! Click here: http://scam.com,0,win free iphone click
88,Best offer ever!!! Call now 123-456-7890,1,best offer ever call
89,OMG!!! This is sooooo exciting ğŸ˜±ğŸ˜±,0,omg sooooo exciting
90,I'm lovvvvving this new update!!! ğŸ’–ğŸ’–,0,im lovvvvving new update
91,Python is so cooool ğŸ˜ğŸ˜!!!,0,python cooool
92,Email me at contact@example.com for inquiries.,1,email inquiry
93,Retweet this!! #trending #viral,0,retweet trending viral
94,Retweet this!! #trending #viral,0,retweet trending viral
95,Breaking News!!! Read more at http://news.com,0,breaking news read
96,I'm lovvvvving this new update!!! ğŸ’–ğŸ’–,0,im lovvvvving new update
97,Follow me @user123 for more updates!!,1,follow user update
98,Loooveeee this!!! ğŸ’•ğŸ’•ğŸ’•,0,loooveeee
99,Hey there!!! Visit my blog at https://example.com #blogging,0,hey visit blog blogging
100,Hello everyone!!! Have a great day ğŸ˜ƒ,0,hello everyone great day
101,Order now and get 50% off! Limited time offer!,0,order get limited time offer
102,Tooootallly agree with you!!!,1,tooootallly agree
103,Loooveeee this!!! ğŸ’•ğŸ’•ğŸ’•,0,loooveeee
104,Follow me @user123 for more updates!!,1,follow user update
105,Hello everyone!!! Have a great day ğŸ˜ƒ,1,hello everyone great day
106,Breaking News!!! Read more at http://news.com,1,breaking news read
107,Hello everyone!!! Have a great day ğŸ˜ƒ,1,hello everyone great day
108,Warning!! Your account will be blocked unless you verify it now: http://fakeurl.com,0,warning account blocked unless verify
109,Loooveeee this!!! ğŸ’•ğŸ’•ğŸ’•,1,loooveeee
110,Email me at contact@example.com for inquiries.,1,email inquiry
111,Retweet this!! #trending #viral,1,retweet trending viral
112,Follow me @user123 for more updates!!,0,follow user update
113,Best offer ever!!! Call now 123-456-7890,0,best offer ever call
114,Tooootallly agree with you!!!,1,tooootallly agree
115,Ohhh woww!! This is amaaazinggg ğŸ˜ğŸ˜,0,ohhh woww amaaazinggg
116,Warning!! Your account will be blocked unless you verify it now: http://fakeurl.com,1,warning account blocked unless verify
117,Loooveeee this!!! ğŸ’•ğŸ’•ğŸ’•,0,loooveeee
118,Email me at contact@example.com for inquiries.,1,email inquiry
119,This is a test message with extraaaaaa letters!,0,test message extraaaaaa letter
120,Email me at contact@example.com for inquiries.,1,email inquiry
121,SPAM ALERT!!! Click here to claim your prize: http://spam.com,1,spam alert click claim prize
122,Loooveeee this!!! ğŸ’•ğŸ’•ğŸ’•,0,loooveeee
123,Order now and get 50% off! Limited time offer!,0,order get limited time offer
124,Best offer ever!!! Call now 123-456-7890,0,best offer ever call
125,100% Guaranteed!!! Best deals only today.,0,guaranteed best deal today
126,Loooveeee this!!! ğŸ’•ğŸ’•ğŸ’•,1,loooveeee
127,Best offer ever!!! Call now 123-456-7890,0,best offer ever call
128,100% Guaranteed!!! Best deals only today.,0,guaranteed best deal today
129,Tooootallly agree with you!!!,0,tooootallly agree
130,This is a test message with extraaaaaa letters!,0,test message extraaaaaa letter
131,Tooootallly agree with you!!!,0,tooootallly agree
132,SPAM ALERT!!! Click here to claim your prize: http://spam.com,1,spam alert click claim prize
133,Win a free iPhone!!! Click here: http://scam.com,1,win free iphone click
134,100% Guaranteed!!! Best deals only today.,0,guaranteed best deal today
135,Hey there!!! Visit my blog at https://example.com #blogging,1,hey visit blog blogging
136,Check out this new product: http://shop.com #shopping,1,check new product shopping
137,Breaking News!!! Read more at http://news.com,0,breaking news read
138,Hello everyone!!! Have a great day ğŸ˜ƒ,1,hello everyone great day
139,Python is so cooool ğŸ˜ğŸ˜!!!,0,python cooool
140,Email me at contact@example.com for inquiries.,0,email inquiry
141,Warning!! Your account will be blocked unless you verify it now: http://fakeurl.com,1,warning account blocked unless verify
142,OMG!!! This is sooooo exciting ğŸ˜±ğŸ˜±,0,omg sooooo exciting
143,I'm lovvvvving this new update!!! ğŸ’–ğŸ’–,1,im lovvvvving new update
144,Win a free iPhone!!! Click here: http://scam.com,0,win free iphone click
145,SPAM ALERT!!! Click here to claim your prize: http://spam.com,1,spam alert click claim prize
146,Warning!! Your account will be blocked unless you verify it now: http://fakeurl.com,0,warning account blocked unless verify
147,This is a test message with extraaaaaa letters!,0,test message extraaaaaa letter
148,Loooveeee this!!! ğŸ’•ğŸ’•ğŸ’•,0,loooveeee
149,Tooootallly agree with you!!!,1,tooootallly agree
150,Email me at contact@example.com for inquiries.,0,email inquiry
151,Loooveeee this!!! ğŸ’•ğŸ’•ğŸ’•,1,loooveeee
152,Python is so cooool ğŸ˜ğŸ˜!!!,0,python cooool
153,Ohhh woww!! This is amaaazinggg ğŸ˜ğŸ˜,0,ohhh woww amaaazinggg
154,Python is so cooool ğŸ˜ğŸ˜!!!,1,python cooool
155,Win a free iPhone!!! Click here: http://scam.com,1,win free iphone click
156,Order now and get 50% off! Limited time offer!,0,order get limited time offer
157,Win a free iPhone!!! Click here: http://scam.com,0,win free iphone click
158,Breaking News!!! Read more at http://news.com,0,breaking news read
159,Best offer ever!!! Call now 123-456-7890,0,best offer ever call
160,I'm lovvvvving this new update!!! ğŸ’–ğŸ’–,0,im lovvvvving new update
161,Order now and get 50% off! Limited time offer!,0,order get limited time offer
162,Python is so cooool ğŸ˜ğŸ˜!!!,0,python cooool
163,Order now and get 50% off! Limited time offer!,0,order get limited time offer
164,Warning!! Your account will be blocked unless you verify it now: http://fakeurl.com,0,warning account blocked unless verify
165,Python is so cooool ğŸ˜ğŸ˜!!!,1,python cooool
166,Hey there!!! Visit my blog at https://example.com #blogging,1,hey visit blog blogging
167,Hey there!!! Visit my blog at https://example.com #blogging,0,hey visit blog blogging
168,Retweet this!! #trending #viral,0,retweet trending viral
169,Ohhh woww!! This is amaaazinggg ğŸ˜ğŸ˜,1,ohhh woww amaaazinggg
170,Hey there!!! Visit my blog at https://example.com #blogging,1,hey visit blog blogging
171,Retweet this!! #trending #viral,1,retweet trending viral
172,Warning!! Your account will be blocked unless you verify it now: http://fakeurl.com,1,warning account blocked unless verify
173,Warning!! Your account will be blocked unless you verify it now: http://fakeurl.com,1,warning account blocked unless verify
174,SPAM ALERT!!! Click here to claim your prize: http://spam.com,1,spam alert click claim prize
175,Breaking News!!! Read more at http://news.com,0,breaking news read
176,Breaking News!!! Read more at http://news.com,1,breaking news read
177,I'm lovvvvving this new update!!! ğŸ’–ğŸ’–,0,im lovvvvving new update
178,Ohhh woww!! This is amaaazinggg ğŸ˜ğŸ˜,1,ohhh woww amaaazinggg
179,SPAM ALERT!!! Click here to claim your prize: http://spam.com,1,spam alert click claim prize
180,Tooootallly agree with you!!!,1,tooootallly agree
181,Retweet this!! #trending #viral,0,retweet trending viral
182,This is a test message with extraaaaaa letters!,0,test message extraaaaaa letter
183,OMG!!! This is sooooo exciting ğŸ˜±ğŸ˜±,0,omg sooooo exciting
184,Hey there!!! Visit my blog at https://example.com #blogging,1,hey visit blog blogging
185,Retweet this!! #trending #viral,1,retweet trending viral
186,Retweet this!! #trending #viral,1,retweet trending viral
187,I'm lovvvvving this new update!!! ğŸ’–ğŸ’–,1,im lovvvvving new update
188,Ohhh woww!! This is amaaazinggg ğŸ˜ğŸ˜,1,ohhh woww amaaazinggg
189,Tooootallly agree with you!!!,1,tooootallly agree
190,Python is so cooool ğŸ˜ğŸ˜!!!,0,python cooool
191,Check out this new product: http://shop.com #shopping,0,check new product shopping
192,Python is so cooool ğŸ˜ğŸ˜!!!,0,python cooool
193,Hello everyone!!! Have a great day ğŸ˜ƒ,0,hello everyone great day
194,Warning!! Your account will be blocked unless you verify it now: http://fakeurl.com,0,warning account blocked unless verify
195,Email me at contact@example.com for inquiries.,0,email inquiry
196,Warning!! Your account will be blocked unless you verify it now: http://fakeurl.com,0,warning account blocked unless verify
197,Ohhh woww!! This is amaaazinggg ğŸ˜ğŸ˜,1,ohhh woww amaaazinggg
198,Ohhh woww!! This is amaaazinggg ğŸ˜ğŸ˜,1,ohhh woww amaaazinggg
199,Python is so cooool ğŸ˜ğŸ˜!!!,0,python cooool
200,This is a test message with extraaaaaa letters!,0,test message extraaaaaa letter
201,This is a test message with extraaaaaa letters!,0,test message extraaaaaa letter
202,This is a test message with extraaaaaa letters!,0,test message extraaaaaa letter
203,Retweet this!! #trending #viral,0,retweet trending viral
204,SPAM ALERT!!! Click here to claim your prize: http://spam.com,0,spam alert click claim prize
205,OMG!!! This is sooooo exciting ğŸ˜±ğŸ˜±,1,omg sooooo exciting
206,Email me at contact@example.com for inquiries.,0,email inquiry
207,I'm lovvvvving this new update!!! ğŸ’–ğŸ’–,1,im lovvvvving new update
208,Follow me @user123 for more updates!!,0,follow user update
209,100% Guaranteed!!! Best deals only today.,1,guaranteed best deal today
210,I'm lovvvvving this new update!!! ğŸ’–ğŸ’–,1,im lovvvvving new update
211,Tooootallly agree with you!!!,1,tooootallly agree
212,Win a free iPhone!!! Click here: http://scam.com,1,win free iphone click
213,Order now and get 50% off! Limited time offer!,1,order get limited time offer
214,Email me at contact@example.com for inquiries.,0,email inquiry
215,Hey there!!! Visit my blog at https://example.com #blogging,1,hey visit blog blogging
216,Follow me @user123 for more updates!!,1,follow user update
217,Follow me @user123 for more updates!!,0,follow user update
218,Email me at contact@example.com for inquiries.,0,email inquiry
219,This is a test message with extraaaaaa letters!,0,test message extraaaaaa letter
220,Hey there!!! Visit my blog at https://example.com #blogging,0,hey visit blog blogging
221,Order now and get 50% off! Limited time offer!,0,order get limited time offer
222,This is a test message with extraaaaaa letters!,0,test message extraaaaaa letter
223,Tooootallly agree with you!!!,0,tooootallly agree
224,Breaking News!!! Read more at http://news.com,0,breaking news read
225,OMG!!! This is sooooo exciting ğŸ˜±ğŸ˜±,1,omg sooooo exciting
226,Loooveeee this!!! ğŸ’•ğŸ’•ğŸ’•,1,loooveeee
227,Win a free iPhone!!! Click here: http://scam.com,0,win free iphone click
228,Retweet this!! #trending #viral,0,retweet trending viral
229,Email me at contact@example.com for inquiries.,1,email inquiry
230,Loooveeee this!!! ğŸ’•ğŸ’•ğŸ’•,1,loooveeee
231,Tooootallly agree with you!!!,0,tooootallly agree
232,OMG!!! This is sooooo exciting ğŸ˜±ğŸ˜±,0,omg sooooo exciting
233,Breaking News!!! Read more at http://news.com,0,breaking news read
234,Tooootallly agree with you!!!,0,tooootallly agree
235,Order now and get 50% off! Limited time offer!,1,order get limited time offer
236,Hello everyone!!! Have a great day ğŸ˜ƒ,1,hello everyone great day
237,Breaking News!!! Read more at http://news.com,1,breaking news read
238,Best offer ever!!! Call now 123-456-7890,0,best offer ever call
239,Retweet this!! #trending #viral,0,retweet trending viral
240,Tooootallly agree with you!!!,1,tooootallly agree
241,Best offer ever!!! Call now 123-456-7890,0,best offer ever call
242,Breaking News!!! Read more at http://news.com,0,breaking news read
243,Python is so cooool ğŸ˜ğŸ˜!!!,0,python cooool
244,Check out this new product: http://shop.com #shopping,1,check new product shopping
245,Follow me @user123 for more updates!!,1,follow user update
246,I'm lovvvvving this new update!!! ğŸ’–ğŸ’–,1,im lovvvvving new update
247,OMG!!! This is sooooo exciting ğŸ˜±ğŸ˜±,1,omg sooooo exciting
248,I'm lovvvvving this new update!!! ğŸ’–ğŸ’–,1,im lovvvvving new update
249,Hey there!!! Visit my blog at https://example.com #blogging,0,hey visit blog blogging
250,Retweet this!! #trending #viral,0,retweet trending viral
251,Hello everyone!!! Have a great day ğŸ˜ƒ,1,hello everyone great day
252,100% Guaranteed!!! Best deals only today.,1,guaranteed best deal today
253,Hello everyone!!! Have a great day ğŸ˜ƒ,0,hello everyone great day
254,Python is so cooool ğŸ˜ğŸ˜!!!,0,python cooool
